policy,param,utility,mean_bytes,traffic,seed,source,backend,majority_class,B_emb_mean,info
elu_threshold,q=0.792,0.841,39.5409,0.7917,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.011210
elu_threshold,q=0.833,0.8663,41.6636,0.8333,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.009461
elu_threshold,q=0.875,0.8863,43.8059,0.875,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.003906
elu_threshold,q=0.917,0.8919,45.9549,0.9167,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.000000
elu_threshold,q=0.958,0.8922,48.1008,0.9583,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.000000
elu_threshold,q=1.000,0.8928,50.2519,1.0,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.000000
oracle,DU_true>0,0.9092,40.4601,0.8092,0,fashion_mnist,torch,0,50.2519,
always_original,,0.8912,511.7515,1.0,1,fashion_mnist,torch,0,48.2799,
always_embedding,,0.8879,48.2799,1.0,1,fashion_mnist,torch,0,48.2799,
always_label,,0.8886,21.0,1.0,1,fashion_mnist,torch,0,48.2799,
never_silence,,0.1,0.0,0.0,1,fashion_mnist,torch,0,48.2799,
confidence,q=0.000,0.1,0.0,0.0,1,fashion_mnist,torch,0,48.2799,
confidence,q=0.042,0.1101,2.0039,0.0417,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.5021
confidence,q=0.083,0.1236,4.0027,0.0833,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.5836
confidence,q=0.125,0.1398,6.0139,0.125,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.6558
confidence,q=0.167,0.1605,8.024,0.1667,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.7235
confidence,q=0.208,0.1857,10.029,0.2083,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.7837
confidence,q=0.250,0.2128,12.0393,0.25,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.8288
confidence,q=0.292,0.2418,14.0491,0.2917,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.8717
confidence,q=0.333,0.2728,16.0632,0.3333,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9056
confidence,q=0.375,0.3043,18.0771,0.375,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9290
confidence,q=0.417,0.3379,20.0953,0.4167,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9488
confidence,q=0.458,0.3705,22.1022,0.4583,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9636
confidence,q=0.500,0.4059,24.1144,0.5,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9745
confidence,q=0.542,0.4421,26.1232,0.5417,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9829
confidence,q=0.583,0.4791,28.1313,0.5833,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9886
confidence,q=0.625,0.5176,30.1651,0.625,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9927
confidence,q=0.667,0.5568,32.1907,0.6667,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9956
confidence,q=0.708,0.5971,34.2224,0.7083,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9975
confidence,q=0.750,0.6384,36.2646,0.75,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9986
confidence,q=0.792,0.6798,38.3059,0.7917,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9992
confidence,q=0.833,0.7212,40.3467,0.8333,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9996
